code,value
"43510",76198
"43511",29715
"43512",80649
"43513",542118
"43514",233170
"43531",14378
"44201",-242185
"44202",242671
"44203",80192
"44204",534015
"44205",573799
"44206",706489
"44207",210922
"44208",502363
"44209",465937
"44210",676430
"44211",237637
"44212",262010
"44213",90789
"44214",2519755
"44322",3610
"44341",721100
"44461",88448
"44462",48730
"45201",3481
"45202",13387046
"45203",508616
"45204",1855298
"45205",656873
"45206",565123
"45207",239015
"45208",2231327
"45209",608089
"45341",64032
"45361",276830
"45382",274922
"45383",482742
"45401",1192570
"45402",1444445
"45403",10461
"45404",1083259
"45405",1222922
"45406",8265778
"45421",190419
"45429",12772
"45430",234805
"45431",476980
"45441",118751
"45442",89773
"45443",16586
"46201",-303987
"46203",2521731
"46204",3320582
"46206",201539
"46208",303271
"46210",1464970
"46213",176355
"46214",1213660
"46215",427384
"46216",1342863
"46217",2033657
"46218",1003177
"46219",1996066
"46220",4286542
"46221",5093811
"46222",252087
"46223",3028038
"46224",375246
"46225",317491
"46303",17538
"46304",17273
"46392",198400
"46404",409196
"46452",429700
"46468",4975342
"46482",893469
"46490",219823
"46491",100194
"46492",336934
"46501",96229
"46502",95134
"46505",336962
"46523",15593
"46524",6416
"46525",73809
"46527",55022
"46529",106563
"46530",520650
"46531",73652
"46532",112071
"46533",89114
"46534",77946
"46535",82528
"47201",-134739
"47205",-25725
"47207",366306
"47208",176241
"47209",107958
"47210",286955
"47211",-6423
"47212",566853
"47213",116746
"47214",501800
"47215",76803
"47301",128028
"47302",248992
"47303",151606
"47306",289795
"47308",167120
"47311",463283
"47313",160983
"47314",93476
"47315",26915
"47324",245107
"47325",166898
"47326",-5143
"47327",199069
"47328",154525
"47329",-13806
"47348",-2814
"47350",162915
"47353",5297
"47354",3182
"47355",214
"47356",1365
"47357",1313
"47358",331
"47359",25935
"47360",23341
"47361",138338
"47362",363033
"47375",32625
"47381",248290
"47382",14895
